created_at,ip_location,user_id,nickname,comment,label
1711986284,江苏,7889744238,#NAME?,多做点主动出击，对外行动吧，别漠视在外国人的生命，能不能派遣调查组主动去调查呀,1
1712066557,北京,1764102570,#NAME?,期待伊朗的回击,1
1712052540,中国,5412108857,#NAME?,以色列那么个小国这么嚣张跋扈，迟早被灭,1
1712065418,浙江,1735568770,#NAME?,这还忍得住！！？,1
1705755761,广东,2311791427,_Kleinx,好好好，就不能多炸几天？今天炸明天就和好也太假了吧哈哈哈哈,1
1712076672,辽宁,1789946907,_Sandra_Song,癫了，世界都癫了. 它这个疯子,1
1705755506,浙江,6466065005,_少烦_,背后有高人指点,1
1711631044,吉林,7726808267,_桐生1马,真的恐怖,1
1705755362,浙江,2275628352,_元录_,哈哈哈哈哈哈哈//@宇宙影帝美利坚:以色列的爱好者们连夜清空几万字的草稿箱。,1
1712074549,广东,6756030708,007玖伍贰柒,正确的理解是房子卖不掉资本家开始炸楼保房价，城市纷纷被尘埃笼罩，,1
1712045163,浙江,7276914757,0小虎087215,狗??子还真有，霉??,1
1712152344,陕西,6232843812,1000SX,沙比村委会，我吃柠檬,1
1712076648,甘肃,7379416253,1121弈辰,老胡认证以色列????纳粹,1
1711204619,福建,3886949634,1206剑侠情,人类毒瘤 应当铲除,1
1706997662,浙江,5969020366,123向前进9888,是啊台湾问题谈了这么多年那帮领导不知谈出来了什么结果，这样的部门养着有何作用,1
1712069502,江苏,6655682969,131旷野之息,@以色列驻华使馆 畜牲!你们会有报应的!,1
1711545599,中国香港,7701115713,1640jxuBf,除了美国还有谁,1
1711545538,中国香港,7701115713,1640jxuBf,支持杜鹃花落作者的胡咧咧你闭嘴吧,1
1712050558,上海,7420592821,170212乐乐乐,欧美怎么不报道了 那些白左呢,1
1712072704,北京,1952925750,2011秋水共长天一色,疯了哈，这世界上没有他们不敢干的。//@NewQian_松:以色列这是一心一意要拉美国下场,1
1712149434,河南,5484646737,2020到胃,呵呵，如果没点背景，谁敢违建,1
1711498894,浙江,6890812007,2023破茧而出,以色列和美国鬼子外加阿三干的勾当,1
1712070466,河南,5814147834,2024必过过,我怀疑你喝多了,1
1712057560,重庆,7898954675,2024的娜年春天,以色列已经疯了,1
1711897361,安徽,7748344901,2A36,吃屎欧盟@欧盟在中国,1
1712058852,江苏,7800169228,2不是唯一的质数202211,以色列这是打算直接掀桌子，甩开美国自己开大了//@江宁婆婆:火药桶上耍打火机，就看伊朗人怎么报复了,1
1712072686,四川,2635125417,2沧海一粟,波斯龟,1
1712063256,四川,2635125417,2沧海一粟,这么明目张胆，伊朗也忍？？,1
1711749425,河北,7840451921,3229056872lD,你娘说不让他吃肉说得通吗，给狗说不让他吃屎他听你的吗？,1
1712078179,陕西,6716304358,401爱撕机魔,该吃药??了,1
1712078593,江苏,5796771845,50度太阳,你有多傻?啊,1
1712047624,北京,5301278483,5月的奈落,伊朗别怂啊！,1
1712055037,浙江,6234564539,6234564539_466,消灭哈马斯,1
1712072450,江苏,7454036374,71年苏州老粉红,你女儿胡维佳在美国任环球时报记者，有没有裙带关系？环球时报应该收回胡骑墙的账号,1
1712075836,辽宁,3181195203,80后的刘大爷,没有创意,1
1712150009,河北,7355292345,85-the-best,有些人看面相就避免打交道,1
1712077001,重庆,7785314421,888简单生活888,谁打以色列，我给谁捐钱,1
1711229482,重庆,2627702273,889966wdy,气死了！人类应该铲除这种邪恶。,1
1712078098,广东,7912683313,9UPPP,口嗨部就大的贡献就是谴责,1
1712057856,广东,1817851525,a_hu007,这个怎么洗,1
1712043069,北京,6134347604,a0069500733,附注辟谣狗正在赶来，叽歪着：根据我爹公布的数据，我爹没有伤亡百万，原博造谣,1
1711956474,河南,5340120856,AAA锦衣夜行,:: 离天堂太远，离狗俄罗斯太近，狗俄罗斯的邻居没有一个不被咬的支离破碎，轻的割土地，重的灭国，谁能找出一个不被咬的邻居,1
1712065757,广东,2139487950,-ABCDEFGHIJK-,疯披拉不住了，老美也头疼。,1
1712158757,塞浦路斯,1834581115,ABRACADABRA不让用,这杂碎肯定也扣着租户的押金，没用完的房租。只住了24天，不可能就缴了24天的房租,1
1711896328,福建,6525321568,afeng5376,台湾也如乌克兰,1
1712065514,新疆,6034145243,AFK我心狂野,所以你猜也门拖鞋军锁航道 美国喊话伊朗干嘛？乐子人博主真有趣。,1
1712063291,上海,5555981497,AG_Terry,高超音速导弹快用起来把特拉维夫炸了,1
1712073473,湖南,7004875205,agfrghffuhqwedg,伊朗嘴炮从来没输过，打仗从来没赢过,1
1712078656,重庆,6014689836,ainan40198603,二逼 美国把我们和俄罗斯整垮了 估计960万的土地也没有 先生存下来再说吧,1
1712072177,山东,7884771034,AIR114514,白牛和瘤牛可以免死，别的不行,1
1712064130,广西,7875174268,AI和佛祖,干就是了，修仙还是修佛,1
1712047483,山东,5646283792,AJLee123,袭击大使馆就等于袭击他们的领土了...就伊朗这么强势的劲，肯定有大动作,1
1712072088,河北,7271737441,ak47火力全开了,印度人:new beer,1
1712042007,陕西,1624450611,Alex阿江,指望毛子归还土地………就如同让印度人执行计划生育………犹太人停止搞金融………美国佬停止印美钞一样不可能能啊。 除非你没收他家核武器。,1
1712147666,广东,2247376934,alex走向另一个月亮,这俩老登的一套操作熟练的行云流水,1
1712060177,四川,2045749440,Amy5d,真相就是美国太强，没人打得过,1
1712071867,海南,1309253823,anby小康,要预测你就好好预测，要许愿你就去庙里。,1
1711989777,四川,1151348710,Andy策哥,来点实际行动可好！,1
1712074969,广东,2273159010,Andy我必发达,赌５毛，没事的，干了就干了，P事没有。,1
1711660256,山东,5729293820,Angel_静好,可怕,1
1711201793,广东,2230402871,angi_lei,这老不死的最终死于核污染,1
1712156791,陕西,2708987384,angwish,一天天的都靠网络解决，白养一群尸位素餐的！,1
1712063213,广东,1762272942,Annie-OYa,疯了,1
