user_id,created_at,user_screen_name,comment,label,sentiment_score
7903756908,Sun Mar 17 13:22:08 +0800 2024,o哎呦喂__,感兴趣加v,0,0.544297287
7728751216,Sun Mar 17 13:22:54 +0800 2024,_啊呀呀_,怎么进,0,0.348540146
7806562552,Sun Mar 17 13:32:42 +0800 2024,团团09008,学会了,1,0.825242718
7808063530,Sun Mar 17 13:32:44 +0800 2024,对王俊凯柔情,求分享,1,0.694508161
2950307517,Sun Mar 17 13:33:14 +0800 2024,芯妈妈美食,怎么加入,1,0.526232782
1716327205,Sun Mar 17 13:33:53 +0800 2024,大美人小涵_478,高质量羊毛群应该注重交流和分享，而不是仅仅关注价格；便宜并不代表高质量。,1,0.988919797
2311415100,Sun Mar 17 13:33:57 +0800 2024,宝贝儿今天要开心,经验不是靠低价结群的，高质量羊毛群需要筛选群体，确保包容、理解您和其他成员。,1,0.564117635
1861758722,Sun Mar 17 13:34:00 +0800 2024,美女姐姐我,进高质量羊毛群要求严格审核群成员，规范管理群内言行，提供有价值的内容和资源。,1,0.788341353
2109230110,Sun Mar 17 13:34:01 +0800 2024,龙年吉祥幸福,羊毛群重点是关注产 品质量和服务态度，便宜不一定能保证甄选的质量。,1,0.640716173
6026999490,Sun Mar 17 13:34:08 +0800 2024,头像的研究成果,寻找高质量羊毛群需谨慎，便宜未必是好货。,1,0.941505232
6865120106,Sun Mar 17 13:34:08 +0800 2024,为你倾尽一生残爱9qK,进高质量羊毛群要及时获取信息。,1,0.366916416
6279228547,Sun Mar 17 13:34:08 +0800 2024,信心的力量80,进入高质量羊毛群需慎重选择，便宜不代表高质量。,1,0.318395881
5658246407,Sun Mar 17 13:34:08 +0800 2024,aj111岁月,羊毛群的质量取决于渠道选择，价格不一定代表质量。,1,0.587412311
5270987765,Sun Mar 17 13:34:09 +0800 2024,狂躁橘猪扒,&quot;深入电商领域，发现价格的真相。&quot;,1,0.993471773
6285420989,Sun Mar 17 13:34:09 +0800 2024,vickyliu0719,高质量羊毛群需擅长搜集信息，谨慎选择。,1,0.613912676
6876022533,Sun Mar 17 13:34:09 +0800 2024,麻辣烫真的好吃008,进高质量羊毛群，提前了解商家情况很重要。,1,0.05651925
6451788353,Sun Mar 17 13:34:10 +0800 2024,天下之人必不可辜负,进羊毛群需质量高，便宜非质量。运营每日搜集全网信息。,1,0.933532819
5920425891,Sun Mar 17 13:34:10 +0800 2024,佳佑01402,羊毛信息很及时，值得信赖。,1,0.991982584
5825124268,Sun Mar 17 13:34:10 +0800 2024,巩聚Lemonade8778u,便宜不一定是好羊毛，渠道很重要。,1,0.728352667
3249231420,Sun Mar 17 13:34:10 +0800 2024,培键aries_sw,高质量羊毛群，渠道至关重要。持续关注运营，助你省钱。,1,0.874407891
5985290421,Sun Mar 17 13:34:10 +0800 2024,古乎救古,高质量羊毛群，千里挑一，物美价廉。,1,0.815221872
6383927278,Sun Mar 17 13:34:11 +0800 2024,女王橙199110,高质量羊毛群需谨慎选择，不是便宜即高质量。,1,0.643865797
6166027293,Sun Mar 17 13:34:11 +0800 2024,怪怪De尼克尔,寻找高质量的羊毛群，洞察渠道非常重要。,1,0.848346141
6987570842,Sun Mar 17 13:34:11 +0800 2024,笨YOYO201902,进高质量羊毛群需慎重选择。羊毛不等于低价。,1,0.034958222
5911391982,Sun Mar 17 13:34:11 +0800 2024,王大胖的世界,进高质量羊毛群要找准渠道，不要贪便宜。,1,0.05670977
